index	sentence2
0	This is worthless.
1	This is dreadful.
2	This is irritating.
3	This is horrible.
4	This is excruciating.
5	This is pointless.
6	This is bad.
7	This is depressing.
8	This is nasty.
9	This is boring.
10	This is lackluster.
11	This is repetitive.
12	This is worse.
13	This is pitiful.
14	This is clunky.
15	This is rotten.
16	This is tedious.
17	This is cliched.
18	This is confusing.
19	This is redundant.
20	This is awful.
21	This is sordid.
22	This is stagy.
23	This is satisfactory.
24	This is conventional.
25	This is sober.
26	This is melodramatic.
27	This is extreme.
28	This is visual.
29	This is emotional.
30	This is satirical.
31	This is artful.
32	This is beguiling.
33	This is stimulating.
34	This is modest.
35	This is gorgeous.
36	This is inventive.
37	This is good.
38	This is ultimate.
39	This is fantastic.
40	This is epic.
41	This is fun.
42	This is better.
43	This is perfect.
44	This is successful.
45	This is great.
46	This is excellent.
47	This is hilarious.
48	This is fabulous.
49	This is brilliant.
50	This is Spectacular.
